DISCIPLINE,PO WORK TYPE,PO NO,PO SUBJECT,PO DATE,PO REVISION,PO VEND NAME,ITEM COUNT,PO CDD,PO DESTINATION,BUYER,EXPEDITOR,PDF FLAG,REMARKS
CATHODIC PROTECTION,Main Work,ADB-BIFP-SBC-2018-015,Cathodic Protection,20-MAY-19,0,Corrosion Technology Services LLC,134,*,,,Bhavin,N,
CATHODIC PROTECTION,,CPECC-ADB-BIFP-SBC-2018-015,CATHODIC PROTECTION,08-JUL-18,A,Corrosion Technology Services LLC,125,*,SITE,,Rakesh,N,
ELECTRICAL,Pre Work,LPO-BIFP-069,BULK MATERIAL FOR PRE-WORKS IN TRAIN-8 AREA,04-OCT-18,A,Extol International LLC,21,04-Nov-2018,BAB PROJECT SITE,SHURJEEL,SHURJEEL,N,
ELECTRICAL,Pre Work,LPO-BIFP-069-01,BULK MATERIAL FOR  RDS1 & RDS4 PRE-WORKS ADD ESTIMATES QTY.,14-OCT-18,A,Extol International LLC,55,25-Nov-2018,BAB PROJECT SITE,SHURJEEL,SHURJEEL,N,
ELECTRICAL,Pre Work,LPO-BIFP-072,LV CABLES,09-OCT-18,A,Oman Cables Industry (SAOG),17,01-Nov-2018,BAB PROJECT SITE,NAN,Ramveer,N,
ELECTRICAL,Pre Work,LPO-BIFP-114,LV Straight through Jointing Kit,30-DEC-18,0,R&M SN Electrical FZCO,1,03-Jan-2019,,PAVIN FRANCIS,PAVIN FRANCIS,N,
ELECTRICAL,Pre Work,LPO-BIFP-127,Electrical Bulk Materials for Pre-work in RDS-1 & 4,19-FEB-19,0,Emirates Electrical & Instrumentation Co. LLC,12,12-Mar-2019,,Pavin,Pavin,N,
ELECTRICAL,Pre Work,LPO-BIFP-131,Pre-work CICPA Cable Shutdown Materials,04-MAR-19,0,Extol International LLC,11,07-Mar-2019,,Pavin,Pavin,N,
ELECTRICAL,OHL,NCC-P11570/PO/002/01,Transmission Line Material 33KV Conductor  ,24-JUN-18,1,Riyadh Cables and Metals,6,22-Jun-2019,UAE,,,N,
ELECTRICAL,OHL,NCC-P11570/PO/003,SUPPLY OF 33KV POWER CABLES/SUPPLY OF EARTHING CABLES,24-JUN-18,1,Riyadh Cables and Metals,8,29-Jun-2019,UAE,,,N,
ELECTRICAL,OHL,NCC-P11570/PO/011,SUPPLY OF 33kV ISOLATORS –Morris Line Engg  United kingdom,30-JUL-18,1,Morris Line Engg,8,21-Jun-2019,UAE,,,N,
ELECTRICAL,OHL,NCC-P11570/PO/012,Supply of 33kv SURGE ARRESTERS WITH SURGE    COUNTERS,30-JUL-18,1,SIEMENS L.L.C ,3,27-Jun-2019,UAE,,,N,
ELECTRICAL,OHL,NCC-P11570/PO/013,INSULATORS  HARDWARE FITTINGS & ACCESSORIES,19-AUG-18,1,PFISTERER I SEFAG AG,6,27-Jun-2019,UAE,,,N,
ELECTRICAL,OHL,NCC-P11570/PO/014,Supply of OPGW,19-AUG-18,1,AFL Telecommunication ,5,28-Jun-2019,UAE,,,N,
ELECTRICAL,OHL,NCC-P11570/PO/015,Middle East Fiber Cable Manufacturing Co,23-AUG-18,1,Middle East Fiber Cable Manufacturing Co,3,21-Mar-2019,UAE,,,N,
ELECTRICAL,OHL,NCC-P11570/PO/025,Supply of OPGW Joint Box,03-FEB-19,0,Arab Gulf Peal Trading,3,30-Jun-2019,BIFP Site,,,N,
ELECTRICAL,OHL,NCC-T&D-P11570/PC/001,Supply of 33kv Lattice Steel Tower,30-JUN-18,1,Zamil Steel ,12,25-Jun-2019,UAE,,,N,
ELECTRICAL,Main Work,P-BIFP-EL01-047,Solar Power System – 60 SETS,10-SEP-18,A,Electronic Services Company (Telectron) L.L.C,99,30-Apr-2019,Abu Dhabi Sea Port,Rakesh,Bhavin,N,
ELECTRICAL,Main Work,P-BIFP-EL02-126,11kV Switchgear Modification in Substation-C,08-OCT-18,A,ABB Industries L.L.C.,46,30-Mar-2019,BIFP Project Site,Fritz,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL03-049,METAL DEPLOYE RESISTOR,31-JUL-18,A,METAL DEPLOYE RESISTOR,10,20-Dec-2018,Works MDR Factory  France,Vivin Menon,Rana Abhishek,N,
ELECTRICAL,Main Work,P-BIFP-EL04-050,Emergency Diesel Generators,30-OCT-18,A,Coelmo spa,28,30-Apr-2019,Napoli Port or Salerno Port - Italy,Shurjeel Rehman,Shurjeel,N,
